PID,keywords,mods.grants,mods.abstract,fgs.state,dc.title,dc.language,mods.sm_key_words,fgs.lastModifiedDate,mods.sm_collection,mods.language,mods.title,mods.sm_report_number,dc.subject,mods.sm_corporate_creator,rdf.isOpenAccess,mods.origin,dc.description,mods.raw_date,mods.sm_format,mods.sm_oclc_number,rdf.redirectsTo,mods.sm_geographical_coverage,mods.subject_topic,fgs.createdDate,mods.sm_ntl_classification,mods.sm_resource_type,mods.sm_edition,mods.sm_corporate_publisher,DS1.mimetype_txt_en,DS1.label_txt_en,DS1.filesize_tl,DS1.checksum_txt_en,mods.ss_publishyear,fgs.ownerId,rdf.isMemberOf,dc.identifier,mods.sm_creator,fgs.label,rdf.isPeerTo,mods.sm_digital_object_identifier,mods.ss_jobid,DS2.mimetype_txt_en,DS2.label_txt_en,DS2.filesize_tl,DS2.checksum_txt_en,DS2.sourceurl,dc.publisher,dc.format,dc.type,dc.creator,dc.coverage,DS1.sourceurl,mods.orcidId,mods.sm_contributor,dc.contributor,mods.alt_title,mods.note,mods.sm_corporate_contributor,DS_EXCEL.mimetype_txt_en,DS_EXCEL.label_txt_en,DS_EXCEL.filesize_tl,DS_EXCEL.checksum_txt_en,mods.sm_contracting_officer,DS3.mimetype_txt_en,DS3.label_txt_en,DS3.filesize_tl,DS3.checksum_txt_en,DS3.sourceurl,DS4.mimetype_txt_en,DS4.label_txt_en,DS4.filesize_tl,DS4.checksum_txt_en,DS4.sourceurl,mods.sm_alternate_url,mods.table_of_contents,rdf.underCategory,rdf.hasOrder,rdf.isCollection,rdf.categoryOrder,rdf.isFeaturedCollection,mods.sm_rights_statement,mods.related_series,DS_MS_NON_EXCEL.mimetype_txt_en,DS_MS_NON_EXCEL.label_txt_en,DS_MS_NON_EXCEL.filesize_tl,DS_MS_NON_EXCEL.checksum_txt_en,mods.sm_tris_online_accession_number,rdf.hasExternalLink,rdf.hasMoreDocuments,DS5.mimetype_txt_en,DS5.label_txt_en,DS5.filesize_tl,DS5.checksum_txt_en,DS5.sourceurl,DS10.mimetype_txt_en,DS10.label_txt_en,DS10.filesize_tl,DS10.checksum_txt_en,DS10.sourceurl,DS11.mimetype_txt_en,DS11.label_txt_en,DS11.filesize_tl,DS11.checksum_txt_en,DS11.sourceurl,DS12.mimetype_txt_en,DS12.label_txt_en,DS12.filesize_tl,DS12.checksum_txt_en,DS12.sourceurl,DS13.mimetype_txt_en,DS13.label_txt_en,DS13.filesize_tl,DS13.checksum_txt_en,DS13.sourceurl,DS14.mimetype_txt_en,DS14.label_txt_en,DS14.filesize_tl,DS14.checksum_txt_en,DS14.sourceurl,DS15.mimetype_txt_en,DS15.label_txt_en,DS15.filesize_tl,DS15.checksum_txt_en,DS15.sourceurl,DS16.mimetype_txt_en,DS16.label_txt_en,DS16.filesize_tl,DS16.checksum_txt_en,DS16.sourceurl,DS17.mimetype_txt_en,DS17.label_txt_en,DS17.filesize_tl,DS17.checksum_txt_en,DS17.sourceurl,DS18.mimetype_txt_en,DS18.label_txt_en,DS18.filesize_tl,DS18.checksum_txt_en,DS18.sourceurl,DS6.mimetype_txt_en,DS6.label_txt_en,DS6.filesize_tl,DS6.checksum_txt_en,DS6.sourceurl,DS7.mimetype_txt_en,DS7.label_txt_en,DS7.filesize_tl,DS7.checksum_txt_en,DS7.sourceurl,DS8.mimetype_txt_en,DS8.label_txt_en,DS8.filesize_tl,DS8.checksum_txt_en,DS8.sourceurl,DS9.mimetype_txt_en,DS9.label_txt_en,DS9.filesize_tl,DS9.checksum_txt_en,DS9.sourceurl,DS_MS_NON_EXCEL.sourceurl,rdf.isSpotlightChild,rdf.isSupersededBy,mods.sm_isbn,mods.sm_issn,mods.physical_description,mods.sm_copyright_date,mods.sm_publisher,rdf.isGRFeaturedChild,rdf.isFeatured,rdf.featuredType,rdf.inSpotlight,rdf.featuredUrl,rdf.isGRFeatured,dc.rights,rdf.featuredPosition,rdf.featuredPositionTemp,DS19.mimetype_txt_en,DS19.label_txt_en,DS19.filesize_tl,DS19.checksum_txt_en,DS19.sourceurl,DS20.mimetype_txt_en,DS20.label_txt_en,DS20.filesize_tl,DS20.checksum_txt_en,DS20.sourceurl,DS21.mimetype_txt_en,DS21.label_txt_en,DS21.filesize_tl,DS21.checksum_txt_en,DS21.sourceurl,DS22.mimetype_txt_en,DS22.label_txt_en,DS22.filesize_tl,DS22.checksum_txt_en,DS22.sourceurl,DS23.mimetype_txt_en,DS23.label_txt_en,DS23.filesize_tl,DS23.checksum_txt_en,DS23.sourceurl,DS24.mimetype_txt_en,DS24.label_txt_en,DS24.filesize_tl,DS24.checksum_txt_en,DS24.sourceurl,DS25.mimetype_txt_en,DS25.label_txt_en,DS25.filesize_tl,DS25.checksum_txt_en,DS25.sourceurl,DS26.mimetype_txt_en,DS26.label_txt_en,DS26.filesize_tl,DS26.checksum_txt_en,DS26.sourceurl,DS27.mimetype_txt_en,DS27.label_txt_en,DS27.filesize_tl,DS27.checksum_txt_en,DS27.sourceurl,DS28.mimetype_txt_en,DS28.label_txt_en,DS28.filesize_tl,DS28.checksum_txt_en,DS28.sourceurl,DS29.mimetype_txt_en,DS29.label_txt_en,DS29.filesize_tl,DS29.checksum_txt_en,DS29.sourceurl,DS30.mimetype_txt_en,DS30.label_txt_en,DS30.filesize_tl,DS30.checksum_txt_en,DS30.sourceurl,DS31.mimetype_txt_en,DS31.label_txt_en,DS31.filesize_tl,DS31.checksum_txt_en,DS31.sourceurl,DS32.mimetype_txt_en,DS32.label_txt_en,DS32.filesize_tl,DS32.checksum_txt_en,DS32.sourceurl,DS33.mimetype_txt_en,DS33.label_txt_en,DS33.filesize_tl,DS33.checksum_txt_en,DS33.sourceurl,DS34.mimetype_txt_en,DS34.label_txt_en,DS34.filesize_tl,DS34.checksum_txt_en,DS34.sourceurl,rdf.quickLinkUrl,rdf.isQuickLink,rdf.underSection,DS_EXCEL.sourceurl,mods.embargo_date,rdf.hasDataset,rdf.hasPublication,mods.ss_keyvalue,mods.sm_researchhub_id,dc.date,dc.source,dc.identifier.uri,dc.contributor.author,dc.contributor.collaborator,dc.coverage.spatial,dc.contributor.creator,dc.relation.isPartOf,dc.description.abstract,dc.rights.accessRights,dc.relation.isVersionOf,dc.contributor.consultant,dc.description.tableOfContents,dc.title.alternative,DS1.checksumsha256_txt_en,rdf.hasMultipleLanguage,DS2.checksumsha256_txt_en,DS3.checksumsha256_txt_en,DS4.checksumsha256_txt_en,DS5.checksumsha256_txt_en,DS6.checksumsha256_txt_en,DS7.checksumsha256_txt_en,mods.ss_hasQLOrder,DS_MS_NON_EXCEL.checksumsha256_txt_en,dc.relation.isReferencedBy,DS10.checksumsha256_txt_en,DS11.checksumsha256_txt_en,DS12.checksumsha256_txt_en,DS13.checksumsha256_txt_en,DS14.checksumsha256_txt_en,DS15.checksumsha256_txt_en,DS16.checksumsha256_txt_en,DS17.checksumsha256_txt_en,DS18.checksumsha256_txt_en,DS8.checksumsha256_txt_en,DS9.checksumsha256_txt_en
dot:73386,,,This report is one of eight issued for consideration in advance of the National Conference on Street and Highway Safety The reports are: I Statistics; II Traffic Control; III Construction and Engineering; IV City Planning and Zoning; V Insurance; VI Education; VII The Motor Vehicle; VIII Public Relations.,Active,"Report of the Committee on Traffic Control,Reports 1924 - Book 1",English,"Highway safety,Streets,Conferences,Drivers,Pedestrians,Reports",2024-02-23T21:04:23.915Z,National Conferences on Street and Highway Safety,English,Report of the Committee on Traffic Control,,"Highway safety,Streets,Conferences,Drivers,Pedestrians,Reports",United States. Department of Transportation,true,"1924-11-03; \,",This report is one of eight issued for consideration in advance of the National Conference on Street and Highway Safety The reports are: I Statistics; II Traffic Control; III Construction and Engineering; IV City Planning and Zoning; V Insurance; VI Education; VII The Motor Vehicle; VIII Public Relations.,1924-11-03,PDF,,,United States,,2024-02-15T15:57:03.071Z,,Tech Report,,United States. Department of Transportation,application/pdf,24P13.pdf,1239005,urn:sha256:5dff6895eec3312147d4b0dc8dd8202d378fe9ac2f4521c0902b7cbf524ddc38,1924,,dot:68794,"https://doi.org/10.21949/1510363,https://rosap.ntl.bts.gov/view/dot/73386",,,,https://doi.org/10.21949/1510363,1744,,,,,,United States. Department of Transportation,PDF,Tech Report,United States. Department of Transportation,United States,https://ntlrepository.blob.core.windows.net/lib/96000/96200/96214/24P13.pdf,,,,Reports 1924 - Book 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dot:73382,,,This report is one of eight issued for consideration in advance of the National Conference on Street and Highway Safety The reports are: I Statistics; II Traffic Control; III Construction and Engineering; IV City Planning and Zoning; V Insurance; VI Education; VII The Motor Vehicle; VIII Public Relations.,Active,"Report of the Committee on Statistics,Reports 1926",English,"Highway safety,Conferences,Drivers,Pedestrians,Reports",2024-02-23T21:04:21.977Z,National Conferences on Street and Highway Safety,English,Report of the Committee on Statistics,,"Highway safety,Conferences,Drivers,Pedestrians,Reports",United States. Department of Transportation,true,"1926-01-01; \,",This report is one of eight issued for consideration in advance of the National Conference on Street and Highway Safety The reports are: I Statistics; II Traffic Control; III Construction and Engineering; IV City Planning and Zoning; V Insurance; VI Education; VII The Motor Vehicle; VIII Public Relations.,1926-01-01,PDF,,,United States,,2024-02-15T15:56:55.407Z,,Tech Report,,United States. Department of Transportation,application/pdf,267.pdf,1273683,urn:sha256:2181bead47d96bfbc8626cfdd284c61bd3b38ac31de390c3743f6ec830804deb,1926,,dot:68794,"https://doi.org/10.21949/1510359,https://rosap.ntl.bts.gov/view/dot/73382",,,,https://doi.org/10.21949/1510359,1744,,,,,,United States. Department of Transportation,PDF,Tech Report,United States. Department of Transportation,United States,https://ntlrepository.blob.core.windows.net/lib/96000/96200/96210/267.pdf,,,,Reports 1926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dot:73371,,,This report is one of eight issued for consideration in advance of the National Conference on Street and Highway Safety The reports are: I Statistics; II Traffic Control; III Construction and Engineering; IV City Planning and Zoning; V Insurance; VI Education; VII The Motor Vehicle; VIII Public Relations.,Active,"Report of the Committee on Education,Reports 1924 - Book 2",English,"Education,Highway safety,Highways,Safety,Schools,Traffic safety education,Pedestrians,Conferences",2024-02-23T21:04:20.648Z,National Conferences on Street and Highway Safety,English,Report of the Committee on Education,,"Education,Highway safety,Highways,Safety,Schools,Traffic safety education,Pedestrians,Conferences",United States. Department of Transportation,true,"1924-11-18; \,",This report is one of eight issued for consideration in advance of the National Conference on Street and Highway Safety The reports are: I Statistics; II Traffic Control; III Construction and Engineering; IV City Planning and Zoning; V Insurance; VI Education; VII The Motor Vehicle; VIII Public Relations.,1924-11-18,PDF,,,United States,,2024-02-15T15:56:34.463Z,,Tech Report,,United States. Department of Transportation,application/pdf,24P27.pdf,1063124,urn:sha256:69c7aeb054482b0008161fd6d55dbcb54d6f5698078a146a5cc678cdf0669f53,1924,,dot:68794,"https://doi.org/10.21949/1510348,https://rosap.ntl.bts.gov/view/dot/73371",,,,https://doi.org/10.21949/1510348,1744,,,,,,United States. Department of Transportation,PDF,Tech Report,United States. Department of Transportation,United States,https://ntlrepository.blob.core.windows.net/lib/96000/96100/96199/24P27.pdf,,,,Reports 1924 - Book 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dot:73370,,,This report is one of eight issued for consideration in advance of the National Conference on Street and Highway Safety The reports are: I Statistics; II Traffic Control; III Construction and Engineering; IV City Planning and Zoning; V Insurance; VI Education; VII The Motor Vehicle; VIII Public Relations.,Active,"Report of the Committee on Education,Reports 1924 - Book 1",English,"Highway safety,Streets,Conferences,Drivers,Pedestrians,Reports",2024-02-23T21:04:23.228Z,National Conferences on Street and Highway Safety,English,Report of the Committee on Education,,"Highway safety,Streets,Conferences,Drivers,Pedestrians,Reports",United States. Department of Transportation,true,"1924-11-18; \,",This report is one of eight issued for consideration in advance of the National Conference on Street and Highway Safety The reports are: I Statistics; II Traffic Control; III Construction and Engineering; IV City Planning and Zoning; V Insurance; VI Education; VII The Motor Vehicle; VIII Public Relations.,1924-11-18,PDF,,,United States,,2024-02-15T15:56:32.134Z,,Tech Report,,United States. Department of Transportation,application/pdf,24P17.pdf,1062799,urn:sha256:b3e9f0ecf13c050210c96cf216afe48e6ceab9572c8b07cd8cef052d76252950,1924,,dot:68794,"https://doi.org/10.21949/1510347,https://rosap.ntl.bts.gov/view/dot/73370",,,,https://doi.org/10.21949/1510347,1744,,,,,,United States. Department of Transportation,PDF,Tech Report,United States. Department of Transportation,United States,https://ntlrepository.blob.core.windows.net/lib/96000/96100/96198/24P17.pdf,,,,Reports 1924 - Book 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dot:73383,,,This report is one of eight issued for consideration in advance of the National Conference on Street and Highway Safety The reports are: I Statistics; II Traffic Control; III Construction and Engineering; IV City Planning and Zoning; V Insurance; VI Education; VII The Motor Vehicle; VIII Public Relations.,Active,"Report of the Committee on the Motor Vehicle,Reports 1924 - Book 1",English,"Highway safety,Conferences,Vehicle safety,Drivers,Pedestrians,Regulations",2024-02-23T21:04:22.570Z,National Conferences on Street and Highway Safety,English,Report of the Committee on the Motor Vehicle,,"Highway safety,Conferences,Vehicle safety,Drivers,Pedestrians,Regulations",United States. Department of Transportation,true,"1924-12-01; \,",This report is one of eight issued for consideration in advance of the National Conference on Street and Highway Safety The reports are: I Statistics; II Traffic Control; III Construction and Engineering; IV City Planning and Zoning; V Insurance; VI Education; VII The Motor Vehicle; VIII Public Relations.,1924-12-01,PDF,,,United States,,2024-02-15T15:56:57.363Z,,Tech Report,,United States. Department of Transportation,application/pdf,24P18.pdf,770796,urn:sha256:35027bfec258f1d5bc6fe861ec158129304b205f87014b659185a55f00320b58,1924,,dot:68794,"https://doi.org/10.21949/1510360,https://rosap.ntl.bts.gov/view/dot/73383",,,,https://doi.org/10.21949/1510360,1744,,,,,,United States. Department of Transportation,PDF,Tech Report,United States. Department of Transportation,United States,https://ntlrepository.blob.core.windows.net/lib/96000/96200/96211/24P18.pdf,,,,Reports 1924 - Book 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dot:73379,,,This report is one of eight issued for consideration in advance of the National Conference on Street and Highway Safety The reports are: I Statistics; II Traffic Control; III Construction and Engineering; IV City Planning and Zoning; V Insurance; VI Education; VII The Motor Vehicle; VIII Public Relations.,Active,"Report of the Committee on Public Relations,Reports 1924 - Book 2",English,"Highway safety,Conferences,Drivers,Pedestrians,Reports",2024-02-23T21:04:21.366Z,National Conferences on Street and Highway Safety,English,Report of the Committee on Public Relations,,"Highway safety,Conferences,Drivers,Pedestrians,Reports",United States. Department of Transportation,true,"1924-11-18; \,",This report is one of eight issued for consideration in advance of the National Conference on Street and Highway Safety The reports are: I Statistics; II Traffic Control; III Construction and Engineering; IV City Planning and Zoning; V Insurance; VI Education; VII The Motor Vehicle; VIII Public Relations.,1924-11-18,PDF,,,United States,,2024-02-15T15:56:49.496Z,,Tech Report,,United States. Department of Transportation,application/pdf,24P29.pdf,511917,urn:sha256:de089d0be8e201342a2967ccdc24dacd350e4d752dd404df2805e51aa23c01bf,1924,,dot:68794,"https://doi.org/10.21949/1510356,https://rosap.ntl.bts.gov/view/dot/73379",,,,https://doi.org/10.21949/1510356,1744,,,,,,United States. Department of Transportation,PDF,Tech Report,United States. Department of Transportation,United States,https://ntlrepository.blob.core.windows.net/lib/96000/96200/96207/24P29.pdf,,,,Reports 1924 - Book 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dot:73394,,,"The studies being undertaken in an effort to work up uniform traffic codes and regulations\, together with the most effective means and methods of reducing traffic accidents and losses\, are excellent.",Active,"Summary of Proceedings Fourth National Conference on Street and Highway Safety May 23-24-25\, 1934,Reports 1934",English,"Highway safety,Conferences,Drivers,Pedestrians,Reports,Laws and legislation",2024-02-23T21:02:49.492Z,National Conferences on Street and Highway Safety,English,"Summary of Proceedings Fourth National Conference on Street and Highway Safety May 23-24-25, 1934",,"Highway safety,Conferences,Drivers,Pedestrians,Reports,Laws and legislation",United States. Department of Transportation,true,"1934-05-01; \,","The studies being undertaken in an effort to work up uniform traffic codes and regulations\, together with the most effective means and methods of reducing traffic accidents and losses\, are excellent.",1934-05-01,PDF,,,United States,,2024-02-15T15:57:19.403Z,,Tech Report,,United States. Department of Transportation,application/pdf,342.pdf,2865831,urn:sha256:421787583cd76d1d34ba14dfdb89897a20025b83dd560e46356ea797ab090787,1934,,dot:68794,"https://doi.org/10.21949/1510371,https://rosap.ntl.bts.gov/view/dot/73394",,,,https://doi.org/10.21949/1510371,1744,,,,,,United States. Department of Transportation,PDF,Tech Report,United States. Department of Transportation,United States,https://ntlrepository.blob.core.windows.net/lib/96000/96200/96222/342.pdf,,,,Reports 1934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dot:73396,,,This is intended to bring out the importance of uniformity in the essential provisions of motor vehicle laws for the convenience of state officials and others and to offer a ready means of checking these provisions against their present state laws and determining what changes may be needed to bring them into harmony with accepted present day standards.,Active,"The Uniform Vehicle Code as the Basis for Nationwide Uniformity in Motor Vehicle Regulation,Reports 1930 - Book 1",English,"Drivers,Jurisprudence and judicial processes,Legislation,States,Traffic crashes,Traffic safety,Standards,Reports",2024-02-23T21:03:43.618Z,National Conferences on Street and Highway Safety,English,The Uniform Vehicle Code as the Basis for Nationwide Uniformity in Motor Vehicle Regulation,,"Drivers,Jurisprudence and judicial processes,Legislation,States,Traffic crashes,Traffic safety,Standards,Reports",United States. Department of Transportation,true,"1926-01-01; \,",This is intended to bring out the importance of uniformity in the essential provisions of motor vehicle laws for the convenience of state officials and others and to offer a ready means of checking these provisions against their present state laws and determining what changes may be needed to bring them into harmony with accepted present day standards.,1926-01-01,PDF,,,United States,,2024-02-15T15:57:23.479Z,,Tech Report,,United States. Department of Transportation,application/pdf,30P12.pdf,2142798,urn:sha256:e71a0f26d69f516505c3ac38c9a2d23f0806f7a63f4969e6092c5ffc75807cd3,1926,,dot:68794,"https://doi.org/10.21949/1510375,https://rosap.ntl.bts.gov/view/dot/73396",,,,https://doi.org/10.21949/1510375,1744,,,,,,United States. Department of Transportation,PDF,Tech Report,United States. Department of Transportation,United States,https://ntlrepository.blob.core.windows.net/lib/96000/96200/96226/30P12.pdf,,,,Reports 1930 - Book 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dot:73385,,,"This report is one of five issued for consideration in advance of the Third National Conference on Street and Highway Safety. The reports are: I—Protection of Railway Grade Crossings and Highway Intersections; II—Maintenance of the Motor Vehicle; III—Measures for the Relief of Traffic Congestion; IV—Uniform Traffic Regulation (accompanied by Uniform Vehicle Code\, Model Municipal Traffic Ordinance and Manual of Standard Street Traffic Signs\, Signals and Markings as revised); V— Traffic Accident Statistics.",Active,"Report of the Committee on Traffic Accident Statistics,Reports 1930 - Book 1",English,"Highway safety,Conferences,Drivers,Pedestrians,Reports",2024-02-23T21:04:29.474Z,National Conferences on Street and Highway Safety,English,Report of the Committee on Traffic Accident Statistics,,"Highway safety,Conferences,Drivers,Pedestrians,Reports",United States. Department of Transportation,true,"1930-05-30; \,","This report is one of five issued for consideration in advance of the Third National Conference on Street and Highway Safety. The reports are: I—Protection of Railway Grade Crossings and Highway Intersections; II—Maintenance of the Motor Vehicle; III—Measures for the Relief of Traffic Congestion; IV—Uniform Traffic Regulation (accompanied by Uniform Vehicle Code\, Model Municipal Traffic Ordinance and Manual of Standard Street Traffic Signs\, Signals and Markings as revised); V— Traffic Accident Statistics.",1930-05-30,PDF,,,United States,,2024-02-15T15:57:01.165Z,,Tech Report,,United States. Department of Transportation,application/pdf,30P13.pdf,1855612,urn:sha256:d645b8567ef055b3894c47da189ad27ee8db90a8d19b85e1f08a5b70363f6e57,1930,,dot:68794,"https://doi.org/10.21949/1510362,https://rosap.ntl.bts.gov/view/dot/73385",,,,https://doi.org/10.21949/1510362,1744,,,,,,United States. Department of Transportation,PDF,Tech Report,United States. Department of Transportation,United States,https://ntlrepository.blob.core.windows.net/lib/96000/96200/96213/30P13.pdf,,,,Reports 1930 - Book 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dot:73369,,,This report is one of eight issued for consideration in advance of the National Conference on Street and Highway Safety The reports are: I Statistics; II Traffic Control; III Construction and Engineering; IV City Planning and Zoning; V Insurance; VI Education; VII The Motor Vehicle; VIII Public Relations.,Active,"Report of the Committee on Construction and Engineering,Reports 1924 - Book 2",English,"Statistics,Traffic control,Road construction,Engineering,Railroads,Transportation",2024-02-23T21:04:26.019Z,National Conferences on Street and Highway Safety,English,Report of the Committee on Construction and Engineering,,"Statistics,Traffic control,Road construction,Engineering,Railroads,Transportation",United States. Department of Transportation,true,"1924-11-03; \,",This report is one of eight issued for consideration in advance of the National Conference on Street and Highway Safety The reports are: I Statistics; II Traffic Control; III Construction and Engineering; IV City Planning and Zoning; V Insurance; VI Education; VII The Motor Vehicle; VIII Public Relations.,1924-11-03,PDF,,,United States,,2024-02-15T15:56:30.257Z,,Tech Report,,United States. Department of Transportation,application/pdf,24P24.pdf,1143321,urn:sha256:4984b91ae49cce8dcc570cfcfdd5a8234546527997312c5734bdad7fd2708815,1924,,dot:68794,"https://doi.org/10.21949/1510346,https://rosap.ntl.bts.gov/view/dot/73369",,,,https://doi.org/10.21949/1510346,1744,,,,,,United States. Department of Transportation,PDF,Tech Report,United States. Department of Transportation,United States,https://ntlrepository.blob.core.windows.net/lib/96000/96100/96197/24P24.pdf,,,,Reports 1924 - Book 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
